"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","End-to-End Tests","0","Core Funnel Workflow","0","0","Successful Funnel Creation and Publication","0"
"1","Project Editor","0","Element Properties","0","0","Change Element Layout","0"
"1","Project Editor","0","Element Manipulation","0","0","Add and Delete Elements","0"
"3","Templates","0","Template Discovery","0","0","Search and Filter Templates","0"
"1","Project Dashboard","0","Funnel Creation","0","0","Create from Scratch","0"
"10","Configuration","0","Funnel Settings","0","0","General Settings","0"
"1","Project Dashboard","0","Dashboard Loading","0","0","Verify Page Title","0"
"1","Project Editor","0","Funnel Pages","0","0","Add Page","0"
"1","Project Dashboard","0","Workspace Management","0","0","Delete Workspace","0"
"1","Project Dashboard","0","Workspace Management","0","0","Rename Workspace","0"
"4","Preview","0","Content Elements","0","0","Interactive Elements","0"
"3","Project Editor","0","Element Properties","0","0","Edit Element Content","0"
"1","Project Editor","0","Page Loading","0","0","Verify Page Title","0"
"6","Templates","0","Template Discovery","0","0","Category Counts","0"
"1","Project Dashboard","0","Workspace Management","0","0","Create Workspace","0"
"1","Project Dashboard","0","Funnel Management","0","0","Duplicate Funnel","0"
"1","Project Editor","0","Element Manipulation","0","0","Add Element","0"
"1","Project Editor","0","Funnel Pages","0","0","Delete Page","0"
"1","Project Dashboard","0","Funnel Creation","0","0","Create from Template","0"
"3","Templates","0","Template Discovery","0","0","Template Preview","0"
"1","Maintenance","0","Environment Setup/Teardown","0","0","Clean Workspace Environment","0"
"1","Project Editor","0","Element Manipulation","0","0","Bulk Add and Delete Elements","0"
"1","End-to-End Tests","0","Funnel Page Management","0","0","Page Manipulation in Editor","0"
"1","Project Editor","0","Element Properties","0","0","Edit Element Range","0"
"1","Project Dashboard","0","Funnel Management","0","0","Sort Funnels","0"
"1","Project Editor","0","Element Properties","0","0","Toggle Element Visibility","0"
"1","Project Editor","0","Funnel Pages","0","0","Edit Page Name","0"
"1","Project Dashboard","0","Funnel Creation","0","0","Create with AI","0"
"1","Project Dashboard","0","Funnel Management","0","0","Move Funnel","0"
"1","Project Editor","0","Element Properties","0","0","Change Element Type","0"
"1","Project Dashboard","0","Funnel Management","0","0","Search Funnel","0"
"1","Project Dashboard","0","Funnel Management","0","0","Publish Funnel","0"
"1","Project Editor","0","Element Properties","0","0","Change Element Display","0"
"1","Project Editor","0","Element Manipulation","0","0","Add Element via Drag and Drop","0"
"1","Project Dashboard","0","Funnel Management","0","0","Delete All Funnels","0"
