"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that the number of templates displayed matches the count in the category menu.","3601","Category 'Department' -> 'human resources' count matches items","tests","Thu Mar 05 18:40:31 IST 2026","passed","Thu Mar 05 18:40:35 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that a new workspace can be created successfully.","81","Project Dashboard: Create New Workspace","tests","Thu Mar 05 18:29:24 IST 2026","passed","Thu Mar 05 18:29:24 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies that the number of templates displayed matches the count in the category menu.","5922","Category 'Department' -> 'sales' count matches items","tests","Thu Mar 05 18:39:34 IST 2026","passed","Thu Mar 05 18:39:39 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that a single element can be added to the editor and the element count increases.","4764","Editor Page: Add Single Element","tests","Thu Mar 05 18:18:42 IST 2026","passed","Thu Mar 05 18:18:47 IST 2026","TestEditorPage","test_editor_page","",""
"Verify that the user can change the default language of the funnel.","4940","Change funnel language to 'German'","tests","Thu Mar 05 18:39:11 IST 2026","passed","Thu Mar 05 18:39:16 IST 2026","TestConfigure","test_configure_page","",""
"This test verifies that the question text of a 'Single Choice' element can be hidden.","2983","Editor Page: Hide 'Single Choice' Question Text","tests","Thu Mar 05 18:24:39 IST 2026","passed","Thu Mar 05 18:24:42 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that the editor page has the correct title.","0","Editor Page: Assert Page Title","","Thu Mar 05 16:40:39 IST 2026","skipped","Thu Mar 05 16:40:39 IST 2026","","","",""
"This test verifies that the hint/help text of a 'Single Choice' element can be edited.","1647","Editor Page: Edit 'Single Choice' Hint Text","tests","Thu Mar 05 18:23:42 IST 2026","passed","Thu Mar 05 18:23:44 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that a new funnel can be created using the AI assistant.","20571","Project Dashboard: Create New Funnel with AI","tests","Thu Mar 05 18:31:55 IST 2026","passed","Thu Mar 05 18:32:15 IST 2026","TestProjectPage","test_project_page","",""
"Verify that the user can successfully change the name of the funnel.","6511","Change funnel name to 'My New Funnel Name'","","Thu Mar 05 17:25:15 IST 2026","passed","Thu Mar 05 17:25:21 IST 2026","","","",""
"This test verifies that a funnel can be duplicated and that the copy appears on the dashboard.","12936","Project Dashboard: Duplicate a Funnel","tests","Thu Mar 05 18:30:27 IST 2026","passed","Thu Mar 05 18:30:40 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies the search and filtering functionality on the templates page.","3236","Search and select template: 'Expert Contribution Form for Online Magazines and News Websites'","tests","Thu Mar 05 18:34:38 IST 2026","passed","Thu Mar 05 18:34:41 IST 2026","TestTemplatesPage","test_templates_page","",""
"Verify that the user can successfully change the name of the funnel.","6386","Change funnel name to 'My New Funnel Name'","tests","Thu Mar 05 18:15:50 IST 2026","passed","Thu Mar 05 18:15:57 IST 2026","TestConfigure","test_configure_page","",""
"This test deletes all existing workspaces to ensure a clean test environment for subsequent runs.","0","Cleanup: Delete All Workspaces","","Thu Mar 05 17:30:53 IST 2026","skipped","Thu Mar 05 17:30:53 IST 2026","","","",""
"Verify that the user can change the URL of the funnel.","2836","Change funnel URL to '@$#$'","tests","Thu Mar 05 18:16:09 IST 2026","passed","Thu Mar 05 18:16:12 IST 2026","TestConfigure","test_configure_page","",""
"This test verifies that a new funnel can be created from a pre-existing template.","8689","Project Dashboard: Create New Funnel from Template","tests","Thu Mar 05 18:32:30 IST 2026","passed","Thu Mar 05 18:32:38 IST 2026","TestProjectPage","test_project_page","",""
